user_id,number,frequency,est_i,estimation
50780934,five,9,1,40
50780934,six,4,2,60
50780934,eleven,8,1,55
50780934,one,13,2,40
50780934,two,3,1,45
50780934,twelve,10,2,20
50780934,eight,6,1,60
50780934,three,2,1,40
50780934,thirteen,7,2,35
50780934,four,12,1,55
50780934,nine,11,1,30
50780934,seven,1,1,20
50780934,ten,5,1,25
24787806,nine,1,1,8
24787806,one,3,1,3
24787806,eight,4,2,15
24787806,five,10,2,10
24787806,thirteen,11,1,36
24787806,two,6,1,25
24787806,ten,2,1,70
24787806,seven,9,1,55
24787806,twelve,12,1,35
24787806,six,8,1,15
24787806,eleven,13,2,18
24787806,three,5,1,16
24787806,four,7,2,30
99364499,thirteen,6,1,60
99364499,ten,2,1,85
99364499,seven,1,1,30
99364499,two,8,1,50
99364499,twelve,11,1,70
99364499,one,13,2,60
99364499,five,10,2,45
99364499,nine,4,2,80
99364499,six,7,2,25
99364499,three,5,1,15
99364499,eight,9,1,40
99364499,four,3,1,45
99364499,eleven,12,1,55
54119093,eleven,8,1,80
54119093,thirteen,7,2,75
54119093,five,6,1,80
54119093,twelve,2,1,90
54119093,six,4,2,90
54119093,eight,5,1,80
54119093,three,13,2,75
54119093,two,1,1,70
54119093,seven,11,1,55
54119093,ten,12,1,75
54119093,one,10,2,70
54119093,four,9,1,70
54119093,nine,3,1,55
50303699,thirteen,2,1,45
50303699,eight,10,2,60
50303699,seven,6,1,45
50303699,one,3,1,40
50303699,five,1,1,40
50303699,nine,9,1,55
50303699,eleven,7,2,60
50303699,twelve,4,2,45
50303699,four,13,2,50
50303699,three,11,1,45
50303699,ten,8,1,55
50303699,two,5,1,25
50303699,six,12,1,30
58614209,two,10,2,27
58614209,seven,13,2,34
58614209,three,9,1,23
58614209,eleven,3,1,14
58614209,thirteen,2,1,67
58614209,one,8,1,18
58614209,four,12,1,28
58614209,nine,5,1,20
58614209,ten,7,2,28
58614209,eight,4,2,73
58614209,twelve,1,1,29
58614209,five,11,1,20
58614209,six,6,1,58
71316575,nine,9,1,45
71316575,eight,8,1,25
71316575,twelve,11,1,70
71316575,three,6,1,80
71316575,one,2,1,85
71316575,eleven,7,2,50
71316575,two,1,1,55
71316575,four,3,1,40
71316575,six,10,2,55
71316575,ten,4,2,70
71316575,seven,12,1,55
71316575,thirteen,13,2,45
71316575,five,5,1,30
20515316,two,8,1,25
20515316,ten,13,2,25
20515316,six,7,2,20
20515316,eight,6,1,35
20515316,four,5,1,20
20515316,eleven,9,1,30
20515316,three,12,1,35
20515316,seven,1,1,20
20515316,five,11,1,25
20515316,thirteen,4,2,45
20515316,twelve,3,1,30
20515316,one,2,1,50
20515316,nine,10,2,25
35805901,eleven,5,1,25
35805901,nine,3,1,35
35805901,thirteen,2,1,75
35805901,four,12,1,36
35805901,five,13,2,15
35805901,two,7,2,64
35805901,three,1,1,26
35805901,twelve,4,2,80
35805901,one,11,1,55
35805901,ten,8,1,59
35805901,eight,6,1,80
35805901,seven,9,1,60
35805901,six,10,2,55
44202733,thirteen,11,1,36
44202733,six,2,1,62
44202733,ten,10,2,37
44202733,one,12,1,33
44202733,nine,13,2,70
44202733,five,6,1,61
44202733,twelve,5,1,15
44202733,seven,4,2,34
44202733,four,8,1,72
44202733,two,7,2,36
44202733,eight,1,1,38
44202733,three,9,1,55
44202733,eleven,3,1,55
07369922,six,8,1,46
07369922,eleven,5,1,48
07369922,three,2,1,53
07369922,four,13,2,56
07369922,two,6,1,50
07369922,eight,7,2,47
07369922,nine,11,1,56
07369922,one,1,1,50
07369922,five,10,2,49
07369922,seven,4,2,50
07369922,twelve,9,1,53
07369922,ten,3,1,44
07369922,thirteen,12,1,50
84001868,two,10,2,40
84001868,seven,13,2,47
84001868,ten,11,1,20
84001868,six,12,1,32
84001868,five,1,1,37
84001868,one,6,1,47
84001868,twelve,4,2,62
84001868,thirteen,7,2,22
84001868,three,2,1,73
84001868,eleven,5,1,19
84001868,nine,3,1,11
84001868,eight,8,1,9
84001868,four,9,1,42
31809939,five,13,2,22
31809939,thirteen,2,1,70
31809939,eight,3,1,16
31809939,six,1,1,6
31809939,seven,6,1,9
31809939,nine,4,2,14
31809939,ten,8,1,31
31809939,twelve,9,1,21
31809939,one,11,1,11
31809939,four,7,2,44
31809939,two,12,1,52
31809939,three,5,1,16
31809939,eleven,10,2,56
26439562,one,12,1,63
26439562,three,6,1,37
26439562,four,4,2,73
26439562,seven,2,1,44
26439562,nine,11,1,59
26439562,eleven,5,1,60
26439562,two,13,2,22
26439562,thirteen,7,2,55
26439562,ten,9,1,70
26439562,six,3,1,42
26439562,twelve,10,2,58
26439562,eight,8,1,63
26439562,five,1,1,43
67944504,four,7,2,50
67944504,ten,10,2,30
67944504,thirteen,11,1,40
67944504,eight,3,1,45
67944504,five,4,2,50
67944504,three,1,1,30
67944504,seven,9,1,60
67944504,eleven,12,1,40
67944504,six,2,1,80
67944504,one,8,1,45
67944504,two,13,2,45
67944504,twelve,6,1,40
67944504,nine,5,1,43
19463018,six,13,2,55
19463018,nine,9,1,35
19463018,ten,5,1,23
19463018,two,2,1,87
19463018,twelve,12,1,78
19463018,four,4,2,76
19463018,seven,1,1,69
19463018,thirteen,8,1,83
19463018,one,7,2,39
19463018,five,11,1,46
19463018,three,10,2,68
19463018,eight,6,1,88
19463018,eleven,3,1,34
95339212,ten,8,1,40
95339212,thirteen,3,1,10
95339212,twelve,4,2,80
95339212,two,12,1,30
95339212,four,7,2,60
95339212,eleven,9,1,25
95339212,five,10,2,40
95339212,nine,1,1,35
95339212,seven,11,1,60
95339212,three,5,1,10
95339212,six,13,2,50
95339212,one,6,1,90
95339212,eight,2,1,90
09139986,three,2,1,44
09139986,six,9,1,45
09139986,four,12,1,53
09139986,eight,4,2,50
09139986,twelve,6,1,37
09139986,five,11,1,30
09139986,one,5,1,38
09139986,thirteen,3,1,17
09139986,seven,1,1,16
09139986,ten,10,2,43
09139986,eleven,13,2,45
09139986,two,8,1,48
09139986,nine,7,2,44
77872221,one,13,2,30
77872221,eight,9,1,40
77872221,six,2,1,80
77872221,thirteen,10,2,50
77872221,nine,1,1,50
77872221,ten,4,2,65
77872221,five,11,1,53
77872221,twelve,6,1,65
77872221,two,7,2,30
77872221,seven,8,1,45
77872221,eleven,5,1,25
77872221,three,12,1,45
77872221,four,3,1,35
25609823,four,3,1,40
25609823,six,11,1,50
25609823,eight,12,1,56
25609823,ten,4,2,83
25609823,twelve,8,1,36
25609823,thirteen,1,1,57
25609823,nine,7,2,32
25609823,three,9,1,58
25609823,eleven,2,1,85
25609823,seven,5,1,20
25609823,one,6,1,55
25609823,two,13,2,45
25609823,five,10,2,61
31018959,nine,13,2,40
31018959,five,11,1,25
31018959,one,12,1,55
31018959,thirteen,1,1,45
31018959,seven,3,1,25
31018959,twelve,2,1,90
31018959,three,10,2,60
31018959,six,4,2,75
31018959,eleven,8,1,15
31018959,eight,6,1,45
31018959,ten,7,2,40
31018959,two,5,1,30
31018959,four,9,1,45
67199202,five,8,1,60
67199202,thirteen,1,1,55
67199202,eight,6,1,50
67199202,eleven,11,1,70
67199202,four,13,2,75
67199202,nine,12,1,60
67199202,seven,10,2,45
67199202,ten,3,1,35
67199202,six,7,2,50
67199202,three,9,1,55
67199202,one,2,1,85
67199202,two,5,1,35
67199202,twelve,4,2,75
33714518,three,6,1,50
33714518,ten,13,2,65
33714518,nine,8,1,40
33714518,five,3,1,45
33714518,two,11,1,55
33714518,seven,2,1,85
33714518,twelve,4,2,75
33714518,thirteen,12,1,45
33714518,eleven,9,1,60
33714518,eight,10,2,55
33714518,four,1,1,55
33714518,one,7,2,55
33714518,six,5,1,20
23770508,thirteen,6,1,45
23770508,twelve,9,1,25
23770508,six,4,2,48
