stimu,a,b,c,d,N,mean,SD,DFH,pARIs,ΔP,P(E|C),P(C|E)
1,3,3,3,3,12,41.08,17.14028552,0.5,0.3333333333,0,0.5,0.5
2,9,3,3,3,18,67.58,16.05613876,0.75,0.6,0.25,0.75,0.75
3,3,5,5,5,18,30.66,17.41171316,0.375,0.2307692308,-0.125,0.375,0.375
4,9,5,5,5,24,63.8,14.55461215,0.6428571429,0.4736842105,0.1428571429,0.6428571429,0.6428571429
5,3,9,3,3,18,28.34,17.83668542,0.3535533906,0.2,-0.25,0.25,0.5
6,5,3,5,5,18,48.88,16.59682783,0.5590169944,0.3846153846,0.125,0.625,0.5
7,5,9,5,5,24,39.14,18.72683331,0.4225771274,0.2631578947,-0.1428571429,0.3571428571,0.5
8,3,3,9,3,18,33.04,22.56415796,0.3535533906,0.2,-0.25,0.5,0.25
9,5,5,3,5,18,45.78,16.70303651,0.5590169944,0.3846153846,0.125,0.5,0.625
10,5,5,9,5,24,38.38,18.1814999,0.4225771274,0.2631578947,-0.1428571429,0.5,0.3571428571
11,3,3,3,9,18,41.26,18.0801052,0.5,0.3333333333,0.25,0.5,0.5
12,5,5,5,3,18,42.16,18.0117422,0.5,0.3333333333,-0.125,0.5,0.5
13,5,5,5,9,24,43.48,16.97325627,0.5,0.3333333333,0.1428571429,0.5,0.5
