stimu,a,b,c,d,N,mean,SD,DFH,pARIs,ΔP,P(E|C),P(C|E)
1,3,3,3,3,12,39.75,0,0.5,0.3333333333,0,0.5,0.5
2,9,3,3,3,18,61,0,0.75,0.6,0.25,0.75,0.75
3,3,5,5,5,18,38,0,0.375,0.2307692308,-0.125,0.375,0.375
4,9,5,5,5,24,51,0,0.6428571429,0.4736842105,0.1428571429,0.6428571429,0.6428571429
5,3,9,3,3,18,23,0,0.3535533906,0.2,-0.25,0.25,0.5
6,5,3,5,5,18,48,0,0.5590169944,0.3846153846,0.125,0.625,0.5
7,5,9,5,5,24,30,0,0.4225771274,0.2631578947,-0.1428571429,0.3571428571,0.5
8,3,3,9,3,18,35,0,0.3535533906,0.2,-0.25,0.5,0.25
9,5,5,3,5,18,44,0,0.5590169944,0.3846153846,0.125,0.5,0.625
10,5,5,9,5,24,35,0,0.4225771274,0.2631578947,-0.1428571429,0.5,0.3571428571
11,3,3,3,9,18,49,0,0.5,0.3333333333,0.25,0.5,0.5
12,5,5,5,3,18,41,0,0.5,0.3333333333,-0.125,0.5,0.5
13,5,5,5,9,24,46,0,0.5,0.3333333333,0.1428571429,0.5,0.5
