user_id,number,frequency,est_i,estimation
94857291,one,4,2,20
94857291,six,6,2,5
94857291,two,3,2,5
94857291,four,2,2,10
94857291,three,1,2,10
94857291,five,5,2,12
79727531,one,3,2,10
79727531,five,1,2,25
79727531,three,5,2,10
79727531,six,6,2,5
79727531,four,4,2,15
79727531,two,2,2,5
67782924,two,4,2,22
67782924,three,3,2,8
67782924,five,6,2,5
67782924,one,1,2,1
67782924,six,5,2,3
67782924,four,2,2,7
29188448,four,2,2,45
29188448,three,5,2,20
29188448,two,3,2,40
29188448,six,6,2,15
29188448,one,4,2,20
29188448,five,1,2,35
46313995,four,1,2,17
46313995,one,4,2,23
46313995,six,6,2,4
46313995,two,3,2,3
46313995,three,5,2,6
46313995,five,2,2,2
99060870,one,2,2,10
99060870,four,4,2,5
99060870,six,6,2,4
99060870,five,1,2,5
99060870,two,5,2,10
99060870,three,3,2,15
16916000,four,6,2,68
16916000,two,1,2,22
16916000,six,2,2,39
16916000,three,3,2,40
16916000,five,4,2,28
16916000,one,5,2,6
71878209,one,3,2,30
71878209,five,5,2,15
71878209,six,4,2,17
71878209,four,6,2,14
71878209,three,2,2,33
71878209,two,1,2,100
43571159,three,4,2,34
43571159,two,1,2,59
43571159,one,5,2,33
43571159,four,6,2,14
43571159,six,3,2,31
43571159,five,2,2,19
62353512,four,6,2,5
62353512,three,4,2,3
62353512,one,5,2,7
62353512,five,2,2,25
62353512,six,1,2,90
62353512,two,3,2,10
37002748,three,2,2,13
37002748,four,5,2,11
37002748,two,1,2,0
37002748,six,3,2,53
37002748,five,6,2,57
37002748,one,4,2,64
16937885,three,4,2,4
16937885,four,2,2,2
16937885,two,1,2,8
16937885,one,3,2,10
16937885,five,6,2,5
16937885,six,5,2,12
13994819,one,6,2,15
13994819,two,3,2,10
13994819,four,1,2,5
13994819,six,2,2,0
13994819,five,4,2,5
13994819,three,5,2,0
80661328,six,3,2,5
80661328,three,2,2,2
80661328,five,1,2,60
80661328,four,4,2,40
80661328,one,6,2,30
80661328,two,5,2,15
33513522,one,6,2,12
33513522,two,1,2,30
33513522,three,5,2,14
33513522,four,3,2,18
33513522,six,4,2,15
33513522,five,2,2,8
56714564,three,2,2,36
56714564,two,3,2,14
56714564,six,5,2,5
56714564,four,6,2,5
56714564,one,1,2,62
56714564,five,4,2,21
22907986,two,1,2,90
22907986,four,2,2,30
22907986,five,6,2,5
22907986,one,3,2,3
22907986,six,4,2,20
22907986,three,5,2,10
76559707,three,5,2,65
76559707,five,1,2,40
76559707,two,6,2,25
76559707,four,2,2,29
76559707,six,3,2,20
76559707,one,4,2,26
38999623,six,1,2,95
38999623,two,5,2,5
38999623,three,4,2,10
38999623,one,3,2,10
38999623,four,6,2,3
38999623,five,2,2,5
00857061,one,4,2,7
00857061,three,6,2,10
00857061,six,1,2,100
00857061,four,2,2,36
00857061,two,3,2,27
00857061,five,5,2,16
77503914,five,4,2,15
77503914,two,2,2,30
77503914,three,1,2,55
77503914,four,3,2,40
77503914,one,5,2,30
77503914,six,6,2,5
54787305,two,3,2,70
54787305,six,4,2,30
54787305,four,5,2,30
54787305,three,6,2,30
54787305,five,1,2,30
54787305,one,2,2,30
51777662,one,6,2,75
51777662,three,2,2,55
51777662,two,5,2,20
51777662,five,3,2,52
51777662,four,4,2,45
51777662,six,1,2,60
96904076,four,3,2,20
96904076,two,2,2,10
96904076,six,4,2,15
96904076,one,1,2,65
96904076,five,5,2,20
96904076,three,6,2,15
74188384,six,1,2,77
74188384,one,6,2,50
74188384,two,2,2,52
74188384,three,3,2,35
74188384,four,5,2,68
74188384,five,4,2,62
65895331,six,2,2,20
65895331,five,5,2,5
65895331,four,3,2,9
65895331,two,4,2,9
65895331,three,6,2,5
65895331,one,1,2,6
83133683,five,2,2,25
83133683,one,5,2,20
83133683,four,1,2,10
83133683,three,6,2,40
83133683,two,3,2,45
83133683,six,4,2,40
99484318,five,2,2,30
99484318,three,6,2,10
99484318,four,1,2,70
99484318,six,3,2,20
99484318,one,5,2,5
99484318,two,4,2,15
68872530,four,6,2,20
68872530,six,4,2,15
68872530,five,2,2,18
68872530,one,3,2,20
68872530,three,1,2,15
68872530,two,5,2,12
06760385,six,6,2,28
06760385,two,4,2,28
06760385,five,1,2,33
06760385,one,2,2,43
06760385,three,5,2,20
06760385,four,3,2,41
38370157,five,1,2,80
38370157,four,5,2,20
38370157,one,4,2,20
38370157,two,2,2,30
38370157,three,6,2,10
38370157,six,3,2,30
56576050,three,1,2,75
56576050,four,5,2,17
56576050,five,4,2,28
56576050,one,6,2,9
56576050,two,2,2,39
56576050,six,3,2,31
98681916,three,3,2,0
98681916,four,5,2,0
98681916,six,2,2,0
98681916,two,6,2,3
98681916,five,1,2,1
98681916,one,4,2,0
59986869,one,3,2,19
59986869,four,6,2,10
59986869,five,2,2,3
59986869,two,1,2,11
59986869,six,4,2,3
59986869,three,5,2,39
63479133,six,4,2,20
63479133,two,6,2,5
63479133,five,1,2,10
63479133,one,5,2,10
63479133,four,3,2,15
63479133,three,2,2,10
63152737,five,3,2,11
63152737,two,6,2,8
63152737,one,5,2,16
63152737,three,2,2,10
63152737,four,1,2,14
63152737,six,4,2,8
42054302,five,5,2,60
42054302,two,1,2,25
42054302,six,2,2,45
42054302,four,4,2,10
42054302,one,3,2,10
42054302,three,6,2,10
17694344,two,4,2,5
17694344,three,3,2,2
17694344,six,1,2,10
17694344,four,2,2,5
17694344,one,5,2,2
17694344,five,6,2,10
59810784,five,5,2,40
59810784,four,4,2,20
59810784,one,1,2,85
59810784,six,2,2,20
59810784,three,6,2,10
59810784,two,3,2,45
61293221,three,3,2,30
61293221,four,6,2,10
61293221,one,1,2,85
61293221,five,4,2,15
61293221,two,5,2,10
61293221,six,2,2,50
72678443,four,1,2,100
72678443,six,2,2,25
72678443,five,6,2,10
72678443,one,3,2,15
72678443,three,5,2,7
72678443,two,4,2,10
19405652,one,2,2,8
19405652,five,4,2,16
19405652,four,5,2,18
19405652,three,3,2,37
19405652,two,1,2,75
19405652,six,6,2,7
10863363,six,6,2,20
10863363,three,4,2,20
10863363,two,1,2,20
10863363,five,2,2,20
10863363,four,3,2,20
10863363,one,5,2,20
63556896,six,1,2,30
63556896,five,6,2,15
63556896,one,5,2,10
63556896,four,3,2,20
63556896,three,2,2,15
63556896,two,4,2,10
81649118,five,6,2,73
81649118,two,3,2,10
81649118,three,5,2,20
81649118,one,1,2,100
81649118,four,2,2,50
81649118,six,4,2,20
41921421,one,4,2,17
41921421,three,1,2,90
41921421,six,5,2,10
41921421,two,6,2,7
41921421,five,2,2,50
41921421,four,3,2,55
39428989,four,4,2,10
39428989,five,6,2,25
39428989,two,3,2,15
39428989,three,5,2,40
39428989,one,1,2,12
39428989,six,2,2,52
92465896,one,6,2,15
92465896,four,3,2,32
92465896,five,4,2,28
92465896,two,5,2,19
92465896,three,2,2,69
92465896,six,1,2,0
23552156,six,6,2,10
23552156,one,1,2,15
23552156,three,2,2,20
23552156,five,4,2,7
23552156,two,3,2,20
23552156,four,5,2,20
96690203,one,4,2,51
96690203,three,6,2,13
96690203,six,5,2,0
96690203,four,3,2,5
96690203,two,1,2,0
96690203,five,2,2,31
11869522,six,2,2,10
11869522,five,5,2,11
11869522,four,3,2,12
11869522,two,4,2,13
11869522,one,1,2,14
11869522,three,6,2,15
67659141,six,2,2,80
67659141,two,3,2,84
67659141,five,6,2,84
67659141,three,4,2,84
67659141,one,5,2,78
67659141,four,1,2,67
95761285,six,2,2,30
95761285,two,5,2,15
95761285,four,6,2,15
95761285,five,3,2,5
95761285,one,4,2,30
95761285,three,1,2,99
74195194,four,2,2,10
74195194,three,5,2,5
74195194,one,3,2,0
74195194,six,1,2,10
74195194,five,4,2,0
74195194,two,6,2,15
50781219,three,5,2,25
50781219,two,3,2,9
50781219,six,6,2,9
50781219,one,2,2,7
50781219,four,1,2,9
50781219,five,4,2,8
06583416,four,4,2,10
06583416,six,2,2,35
06583416,two,1,2,95
06583416,one,6,2,15
