,a,b,c,d,rating,N
1,1,1,1,1,39,4
2,3,1,1,1,62,6
3,5,1,1,1,68,8
4,9,1,1,1,66,12
5,15,1,1,1,77,18
6,1,3,3,3,29,10
7,3,3,3,3,42,12
8,5,3,3,3,50,14
9,9,3,3,3,61,18
10,15,3,3,3,70,24
11,1,5,5,5,19,16
12,3,5,5,5,38,18
13,5,5,5,5,40,20
14,9,5,5,5,51,24
15,15,5,5,5,66,30
16,1,1,3,5,38,10
17,3,1,3,5,61,12
18,5,1,3,5,62,14
19,9,1,3,5,77,18
20,15,1,3,5,81,24
21,1,1,1,1,41,4
22,1,3,1,1,31,6
23,1,5,1,1,18,8
24,1,9,1,1,14,12
25,1,15,1,1,9,18
26,3,1,3,3,54,10
27,3,3,3,3,39,12
28,3,5,3,3,35,14
29,3,9,3,3,23,18
30,3,15,3,3,19,24
31,5,1,5,5,60,16
32,5,3,5,5,48,18
33,5,5,5,5,46,20
34,5,9,5,5,30,24
35,5,15,5,5,26,30
36,1,1,3,5,43,10
37,1,3,3,5,25,12
38,1,5,3,5,20,14
39,1,9,3,5,13,18
40,1,15,3,5,9,24
41,1,1,1,1,43,4
42,1,1,3,1,36,6
43,1,1,5,1,29,8
44,1,1,9,1,26,12
45,1,1,15,1,20,18
46,3,3,1,3,47,10
47,3,3,3,3,41,12
48,3,3,5,3,37,14
49,3,3,9,3,35,18
50,3,3,15,3,28,24
51,5,5,1,5,50,16
52,5,5,3,5,44,18
53,5,5,5,5,43,20
54,5,5,9,5,35,24
55,5,5,15,5,32,30
56,5,3,1,1,53,10
57,5,3,3,1,48,12
58,5,3,5,1,39,14
59,5,3,9,1,33,18
60,5,3,15,1,37,24
61,1,1,1,1,47,4
62,1,1,1,3,40,6
63,1,1,1,5,52,8
64,1,1,1,9,50,12
65,1,1,1,15,49,18
66,3,3,3,1,43,10
67,3,3,3,3,37,12
68,3,3,3,5,43,14
69,3,3,3,9,49,18
70,3,3,3,15,49,24
71,5,5,5,1,35,16
72,5,5,5,3,41,18
73,5,5,5,5,42,20
74,5,5,5,9,46,24
75,5,5,5,15,50,30
76,5,3,1,1,62,10
77,5,3,1,3,60,12
78,5,3,1,5,57,14
79,5,3,1,9,59,18
80,5,3,1,15,62,24
